product_id,highlights
P473671,"['Unisex/ Genderless Scent', 'Warm &Spicy Scent', 'Woody & Earthy Scent', 'Fresh Scent']"
P473668,"['Unisex/ Genderless Scent', 'Layerable Scent', 'Warm &Spicy Scent']"
P473662,"['Unisex/ Genderless Scent', 'Layerable Scent', 'Woody & Earthy Scent']"
P473660,"['Unisex/ Genderless Scent', 'Layerable Scent', 'Warm &Spicy Scent']"
P473658,"['Unisex/ Genderless Scent', 'Layerable Scent', 'Woody & Earthy Scent']"
P473661,"['Warm &Spicy Scent', 'Unisex/ Genderless Scent', 'Layerable Scent']"
P473659,"['Unisex/ Genderless Scent', 'Layerable Scent', 'Woody & Earthy Scent']"
P473666,"['Unisex/ Genderless Scent', 'allure 2022 Best of Beauty Award Winner', 'Fresh Scent']"
P472300,"['Fresh Scent', 'Layerable Scent', 'Unisex/ Genderless Scent']"
P473667,"['Unisex/ Genderless Scent', 'allure 2022 Best of Beauty Award Winner', 'Fresh Scent']"
P473663,"['Unisex/ Genderless Scent', 'Layerable Scent', 'Woody & Earthy Scent']"
P473670,"['Unisex/ Genderless Scent', 'Layerable Scent', 'Fresh Scent']"
P473664,"['Fresh Scent', 'Unisex/ Genderless Scent', 'Layerable Scent']"
P473665,"['Unisex/ Genderless Scent', 'Layerable Scent', 'Fresh Scent']"
P476416,"['Clean at Sephora', 'Hydrating', 'Good for: Dryness', 'Without Parabens', 'Without Sulfates SLS & SLES', 'Black Owned at Sephora']"
P476418,"['Good for: Dryness', 'Clean at Sephora', 'Hydrating', 'Without Parabens', 'Without Sulfates SLS & SLES', 'Black Owned at Sephora']"
P476417,"['Good for: Dryness', 'Clean at Sephora', 'Hydrating', 'Without Parabens', 'Without Sulfates SLS & SLES', 'Black Owned at Sephora']"
P503832,"['Clean at Sephora', 'Hydrating', 'Good for: Dryness', 'Without Parabens', 'Without Sulfates SLS & SLES', 'Black Owned at Sephora']"
P483068,"['Vegan', 'Woody & Earthy Scent', 'Clean + Planet Positive', 'Floral Scent', 'Fresh Scent', 'Cruelty-Free']"
P483139,"['Clean + Planet Positive', 'Vegan', 'Cruelty-Free', 'Fresh Scent', 'Without Parabens', 'Without Phthalates']"
P483080,"['Vegan', 'Clean + Planet Positive', 'Fresh Scent', 'Without Phthalates', 'Without Parabens', 'Cruelty-Free']"
P483079,"['Vegan', 'Clean + Planet Positive', 'Fresh Scent', 'Without Phthalates', 'Without Parabens', 'Cruelty-Free']"
P483131,"['Vegan', 'Woody & Earthy Scent', 'Clean + Planet Positive', 'Without Phthalates', 'Without Parabens', 'Cruelty-Free']"
P483130,"['Clean + Planet Positive', 'Vegan', 'Cruelty-Free', 'Woody & Earthy Scent', 'Without Parabens', 'Without Phthalates']"
P483108,"['Vegan', 'Woody & Earthy Scent', 'Clean + Planet Positive', 'Without Phthalates', 'Without Parabens', 'Cruelty-Free']"
P483140,"['Vegan', 'Clean + Planet Positive', 'Fresh Scent', 'Without Phthalates', 'Without Parabens', 'Cruelty-Free']"
P483072,"['Vegan', 'Woody & Earthy Scent', 'Clean + Planet Positive', 'Without Phthalates', 'Without Parabens', 'Cruelty-Free']"
P483071,"['Clean + Planet Positive', 'Vegan', 'Cruelty-Free', 'Woody & Earthy Scent', 'Without Parabens', 'Without Phthalates']"
P483110,"['Vegan', 'Woody & Earthy Scent', 'Clean + Planet Positive', 'Without Phthalates', 'Without Parabens', 'Cruelty-Free']"
P483109,"['Clean + Planet Positive', 'Vegan', 'Cruelty-Free', 'Woody & Earthy Scent', 'Without Parabens', 'Without Phthalates']"
P483107,"['Woody & Earthy Scent', 'Clean + Planet Positive', 'Vegan', 'Cruelty-Free', 'Without Parabens', 'Without Phthalates']"
P443401,"['Unisex/ Genderless Scent', 'Fresh Scent']"
P307804,"['Unisex/ Genderless Scent', 'Fresh Scent']"
P375388,"['Unisex/ Genderless Scent', 'Fresh Scent']"
P163604,"['Unisex/ Genderless Scent', 'Fresh Scent']"
P252213,No Highlights
P456550,No Highlights
P377678,No Highlights
P269110,No Highlights
P448830,No Highlights
P380571,"['Stick Formula', 'Fresh Scent', 'Alcohol Free']"
P422289,No Highlights
P471526,No Highlights
P460438,No Highlights
P448828,No Highlights
P457232,"['Vegan', 'Clean at Sephora', 'All Hair Types', 'Coily Hair', 'Without Silicones', 'Good for: Flaky/Dry Scalp']"
P474806,"['Good for: Damage', 'Good for: Color Care', 'Clean at Sephora', 'All Hair Types', 'Good for: Frizz', 'Without Silicones']"
P457233,"['Clean at Sephora', 'All Hair Types', 'Curl-Enhancing', 'Coily Hair', 'Without Parabens']"
P474808,"['Good for: Damage', 'Vegan', 'Clean at Sephora', 'All Hair Types', 'Without Silicones', 'Increases Shine']"
P457234,"['Unisex/ Genderless Scent', 'Clean at Sephora', 'Coily Hair', 'Curly Hair', 'Without Sulfates SLS & SLES', 'Good for: Flaky/Dry Scalp']"
P474804,"['Clean at Sephora', 'All Hair Types', 'Without Silicones', 'Without Sulfates SLS & SLES', 'Increases Shine', 'Good for: Oily Scalp']"
P481372,"['Clean at Sephora', 'All Hair Types', 'Good for: Frizz', 'Good for: Dryness', 'Without Sulfates SLS & SLES', 'Increases Shine']"
P457237,"['Clean at Sephora', 'All Hair Types', 'Curly Hair', 'UV Protection', 'Increases Shine', 'Good for: Flaky/Dry Scalp']"
P457236,"['Clean at Sephora', 'Good for: Volume', 'All Hair Types', 'Curl-Enhancing', 'Coily Hair', 'Strong Hold']"
P474807,"['Heat Protection', 'Clean at Sephora', 'All Hair Types', 'Good for: Frizz', 'Without Silicones', 'Increases Shine']"
P457235,"['allure 2020 Best of Beauty Award Winner', 'Clean at Sephora', 'Curl-Enhancing', 'Coily Hair', 'Curly Hair', 'Strong Hold']"
P474805,"['Good for: Damage', 'Good for: Color Care', 'Clean at Sephora', 'All Hair Types', 'Without Silicones', 'Increases Shine']"
P473150,"['Vegan', 'Clean at Sephora', 'All Hair Types', 'Coily Hair', 'Without Silicones', 'Good for: Flaky/Dry Scalp']"
P473151,"['Hydrating', 'Good for: Frizz', 'Good for: Dryness', 'Increases Shine', 'Good for: Flaky/Dry Scalp']"
P398965,"['Hydrating', 'Good for: Dryness']"
P405269,"['Floral Scent', 'Layerable Scent', 'Fresh Scent']"
P405273,"['Floral Scent', 'Layerable Scent', 'Fresh Scent']"
P388770,"['Floral Scent', 'Layerable Scent', 'Warm &Spicy Scent']"
P398823,"['Floral Scent', 'Layerable Scent', 'Warm &Spicy Scent']"
P428454,"['Floral Scent', 'Layerable Scent', 'Fresh Scent']"
P388762,"['Floral Scent', 'Layerable Scent', 'Fresh Scent']"
P388766,"['Floral Scent', 'Layerable Scent', 'Fresh Scent']"
P395768,"['Layerable Scent', 'Floral Scent', 'Fresh Scent']"
P433906,"['Layerable Scent', 'Floral Scent']"
P433901,"['Layerable Scent', 'Floral Scent', 'Fresh Scent']"
P454826,"['Layerable Scent', 'Fresh Scent']"
P410846,No Highlights
P460780,"['Floral Scent', 'Layerable Scent', 'Fresh Scent']"
P481055,['Floral Scent']
P454825,"['Layerable Scent', 'Fresh Scent']"
P442516,No Highlights
P442515,No Highlights
P475043,No Highlights
P475042,No Highlights
P504686,No Highlights
P471527,No Highlights
P439055,"['Vegan', 'Good for: Loss of firmness', 'Collagen', 'Hypoallergenic', 'Without Parabens', 'Best for Dry, Combo, Normal Skin']"
